id,question,answer
1173,"Which film whose director was born first, Swamp Women or Tracy Rides?","Tracy Rides is a 1935 American western film directed by Harry S. Webb and starring Tom Tyler, Virginia Brown Faire and Edmund Cobb."
1174,"Which film has the director born later, Home Alone 2: Lost In New York or Our Mother'S House?","Chris Joseph Columbus( born September 10, 1958) is an American film director, producer and writer, best known for his work in family and sentimental films."
1175,Where was the place of death of the director of film Hitch Hike Lady?,"Born in Los Angeles and active in films from 1929, Scotto graduated from directing short subjects to Republic Pictures features in 1933."
1176,"Which one was established first, Windowswear or Compagnie Française Des Métaux?",The Compagnie française des métaux( CFM) was a French metallurgy company founded in 1892 that acquired the assets of a predecessor that had gone into liquidation.
1177,Where was the husband of Katherine De Stafford born?,"Michael de la Pole, 2nd Earl of Suffolk (1367 – 17 September 1415) was an English nobleman who supported Henry IV"
1178,What is the date of death of Francisco De Benavides's father?,"Francisco IV de Benavides y Dávila, (1 November 1640, Madrid – 1716), Viceroy of Sicily, 1678–1687, Viceroy of Naples, 1687–1696, 9th Count of Santisteban del Puerto since March 1666, was the second son of Diego de Benavides, 8th Count of Santisteban (1607–1666)."
1179,"Who is Sir William Lowther, 1St Baronet, Of Marske's paternal grandfather?","He was the eldest son of draper Robert Lowther (died 1655), an alderman of London and his second wife Elizabeth."
1180,Was Prince Albert Hunt or Daniel Tauvry born first?,"Albert Hunt( December 20, 1896- March 21, 1931) from Denton, Texas was an American country blues fiddle player."
1181,Who is the paternal grandfather of Conrad Ii Of Italy?,"He was the second son of Holy Roman Emperor Henry IV and Bertha of Savoy, and their eldest son to reach adulthood, his older brother Henry having been born and died in the same month of August 1071."
1182,"Which film has the director died later, Taming Sutton'S Gal or Struggle For Eagle Peak?",Taming Sutton's Gal is a 1957 American film drama directed by Lesley Selander and written by Frederick Louis Fox and Thames Williamson.
1183,"Which film has the director who was born first, Cross Of Love or Ljuvlig Är Sommarnatten?","Cross of Love( Finnish: Rakkauden risti) is a 1946 Finnish drama film directed by Teuvo Tulio and starring Regina Linnanheimo, Oscar Tengström and Ville Salminen."
1184,Which country the director of film Thundering Mountains is from?,"Nevesinjska puška (English title: ""Thundering Mountains"") is a 1963 Yugoslav film directed by Žika Mitrović and written by Slavko Goldstein and Miomir 'Miki' Stamenkovic."
1185,"Where does the director of film L'Arbre, Le Maire Et La Médiathèque work at?","He edited the influential film journal, ""Cahiers du cinéma"", from 1957 to 1963, while most of his colleagues—among them Jean-Luc Godard and François Truffaut—were making the transition from film critics to filmmakers and gaining international attention."
1186,Who is Teriimaevarua Iii's paternal grandmother?,"Tamatoa V, born Tamatoa-a-tu Pōmare, (23 September 1842, Moorea – 30 September 1881, Pape'ete), King of Raiatea and Taha'a, was a son of Queen Pōmare IV of Tahiti."
1187,"Where was the place of burial of John Stafford, 1St Earl Of Wiltshire's father?","John Stafford, 1st Earl of Wiltshire , (24 November 1427 – 8 May 1473) was an English nobleman, the youngest son of Humphrey Stafford, 1st Duke of Buckingham."
1188,What is the date of death of Bolko V The Hussite's father?,"Bolko IV of Opole (1363/67 – 6 May 1437), was a Duke of Strzelce and Niemodlin during 1382–1400 (with his brothers as co-rulers), Duke of Opole from 1396 (until 1400 with his brother as co-ruler, except Olesno)."
1189,What is the place of birth of Gwladys's husband?,"Saint Gwladys ferch Brychan or St Gladys (Latin-Gladusa), daughter of King Brychan of Brycheiniog, was the queen of the saint-king Gwynllyw Milwr and the mother of Cadoc ""the Wise"", whose ""vita"" may be the earliest saint's life to mention Arthur."
1190,"Who died first, Dominick Basso or Ilse Lehiste?","Dominick Basso( February 15, 1938 – March 25, 2001), sometimes shown incorrectly as Dominic Basso, was an American mobster in the Chicago Outfit and a high- ranking bookmaker who was convicted in 1988 for syndicated gambling."
1191,Who is the father-in-law of Rahmat Banu Begum?,"Rahmat Banu Begum (born 1656)or Nang Ramani , was the princess of Kingdom of Assam and the first wife of titular Mughal Emperor Muhammad Azam Shah."
1192,"Which film was released first, Mawali No.1 or Vous Êtes De La Police??","Mawali No.1 is a 2002 Hindi- language Indian feature film directed by Leela V Prasad, starring Mithun Chakraborty, Ranjeet and Sadashiv Amrapurkar"
1193,"Who is the father of William Ii, Duke Of Bavaria?","She was Duchess consort of Bavaria by her marriage to Albert I, Duke of Bavaria."
1194,"Which film has the director who was born later, Common Clay (1919 Film) or I'M From The City?","I'm From the City is a 1938 American western film directed by Ben Holmes who also wrote the story which was adapted into a screenplay by Nicholas T. Barrows, Robert St. Clair, and John Grey."
1195,Which country the director of film Dika: Murder City is from?,"Michael D. Moore (born Dennis Michael Sheffield, October 14, 1914 – March 4, 2013) was a Canadian-born American film director, second unit director, and child actor, when he was credited as Mickey Moore (or Micky Moore)."
1196,What nationality is Pixie Geldof's father?,"Robert Frederick Zenon Geldof, (born 5 October 1951) is an Irish singer-songwriter, author, political activist, and occasional actor."
1197,Are both The Trial Of Mary Dugan (1941 Film) and Undisputed (Film) from the same country?,"The Trial of Mary Dugan is a 1941 American drama and thriller film directed by Norman Z. McLeod, written by Bayard Veiller from his 1927 play of the same name."
1198,Who is Queen Inseong's mother-in-law?,"Queen Inseong (7 October 1514 – 6 January 1578), also known as Queen Dowager Gongui (공의왕대비) was the wife and Queen Consort of King Injong of Joseon, the 12th monarch of the Joseon Dynasty."
1199,Do both My Friend From The Park and Punks (Film) films have the directors from the same country?,"Punks is a 2000 film produced by Babyface, directed by Patrik-Ian Polk, and starring Rockmond Dunbar, Seth Gilliam, Renoly Santiago, Jazzmun, and Dwight Ewell."
1200,Which country the director of film Romanoff And Juliet (1961 Film) is from?,"Ustinov was the winner of numerous awards over his life, including two Academy Awards for Best Supporting Actor, Emmy Awards, Golden Globes and BAFTA Awards for acting and a Grammy Award for best recording for children, as well as the recipient of governmental honours from, amongst others, the United Kingdom, France and Germany."
1201,What is the place of birth of Patricia Kennedy Lawford's father?,"Patricia Helen Kennedy Lawford (May 6, 1924 – September 17, 2006) was an American socialite and the sixth of nine children of Rose and Joseph P. Kennedy Sr."
1202,"Which film was released first, Nefertiti, Queen Of The Nile or Two Fists, One Heart?","Nefertiti, regina del Nilo( English Translation: Nefertiti, Queen of the Nile) is a 1961 Italian Sword- and- sandal historical drama written and directed by Fernando Cerchio and produced for MAX Film by Ottavio Poggi."
1203,Who was born first out of Erick Chipeta and Praveen Agrawal?,Erick Chipeta( born 28 June 1990) is a Zimbabwean professional footballer who plays as a defender and midfielder for the Zimbabwe national team.
1204,"Who is Sancha Of Castile, Queen Of Aragon's father-in-law?","The eldest son of Count Ramon Berenguer IV of Barcelona and Queen Petronilla of Aragon, he was the first King of Aragon who was also Count of Barcelona."
1205,"Who is Reginar Iv, Count Of Mons's paternal grandfather?","Reginar IV, Count of Mons (c. 950–1013) was the son of Reginar III, Count of Hainaut."
1206,What is the place of birth of María De Los Remedios De Escalada's husband?,"María de los Remedios de Escalada y La Quintana (November 20, 1797 – August 3, 1823) was the wife of the leader of the Argentine War of Independence, General José de San Martín."
1207,Are The Love Nest (1933 Film) and D.C. Sniper from the same country?,D.C. Sniper is a 2010 American direct- to- video drama- thriller film directed by Ulli Lommel and written by Lommel and Ken Foree.
1208,Which award the director of film Tiramisu (2002 Film) earned?,"In 2008 he won the Hong Kong Film Award for Best Director for his work on ""Beast Stalker""."
1209,Does Davide Santon have the same nationality as Giuseppe Fonzi?,"Giuseppe Fonzi( born 2 August 1991) is an Italian professional racing cyclist, who currently rides for UCI Professional Continental team."
1210,"Where did Ulrich Ii, Count Of East Frisia's father die?","Ulrich II of East Frisia, was count of East Frisia, (6 July 1605 – Aurich, 1 November 1648) was the fifth child and the third son of Enno III, Count of East Frisia and Anna of Holstein-Gottorp."
1211,Who is Gisela Of Hungary's mother-in-law?,"Gisela of Hungary (or Gisele, Gizella and of Bavaria; 985 – 7 May 1065) was the first queen consort of Hungary by marriage to Stephen I of Hungary, and the sister of Henry II, Holy Roman Emperor."
1212,"Which film was released earlier, Siyaah or Shadow Of Evil?",Banco à Bangkok pour OSS 117 released in the USA as Shadow of Evil is a 1964 French/ Italian international co-production Eurospy spy- fi film.
1213,What is the date of death of Æthelmær The Stout's father?,"Æthelweard (also Ethelward; d. c. 998), descended from the Anglo-Saxon King Æthelred I of Wessex, the elder brother of Alfred the Great, was an ealdorman and the author of a Latin version of the ""Anglo-Saxon Chronicle"" known as the ""Chronicon Æthelweardi""."
1214,"Who is the maternal grandfather of Agnes Duff, Countess Fife?","Elizabeth Hay, Countess of Erroll (17 January 1801 – 16 January 1856; born Elizabeth FitzClarence) was an illegitimate daughter of King William IV of the United Kingdom and Dorothea Jordan."
1215,Who is the paternal grandfather of Naja Rosa?,"His father, Herman David Koppel (1908-1998), a composer and pianist of Jewish origin, fled the Nazis with his family in 1943."
1216,What is the place of birth of the director of film Time Raiders?,Time Raiders  is a 2016 Chinese fantasy-action-adventure film directed by Daniel Lee and starring Jing Boran and Luhan.
1217,"Which film was released first, The Legend Of Frosty The Snowman or Miles Of Fire?","The Legend of Frosty the Snowman is a 2005 American/ Canadian/ Filipino direct- to- video animated film produced by Classic Media, Studio B Productions, and Top Draw Animation."
1218,"Who died earlier, Daniel Maynadier Henry or Richard Westmacott (The Younger)?",Richard Westmacott (the younger) RA (1799 – 19 April 1872) – also sometimes described as Richard Westmacott III (to distinguish him from his father and grandfather – both sculptors bearing the same name) – was a prominent English sculptor of the early and mid-19th century.
1219,Who is the child of Graziano Rossi?,"Rossi has a maternal half-brother, Luca Marini, who is currently racing in the 2019 Moto2 season for the Sky Racing Team by VR46."
1220,What is the place of birth of Aleksey Greig's father?,"Samuel Greig, or Samuil Karlovich Greig , as he was known in Russia (30 November 1735, Inverkeithing, Fife, Scotland – 15 October 1788, Tallinn, Estonia, Russian Empire) was a Scottish-born Russian admiral who distinguished himself in the Battle of Chesma (1770) and the Battle of Hogland (1788)."
1221,"Which film has the director who died first, Deported Women Of The Ss Special Section or Custodio De Señoras?","Le deportate della sezione speciale SS( internationally released as Deported Women of the SS Special Section,"" SS Special Section Women"" and"" Deported Women"") is a 1976 erotic- drama film directed by Rino Di Silvestro."
1222,"Which film was released earlier, Engal Aasan or The Mummy'S Tomb?","The Mummy's Tomb is a 1942 American horror film produced by Ben Pivar for Universal Pictures Co., directed by Harold Young, and starring Lon Chaney Jr. as Kharis the mummy."
1223,"Which film was released earlier, Narco Cultura or Deuxième Vie?","Narco Cultura is a 2013 documentary film about the Mexican Drug War in Ciudad Juárez, directed by Shaul Schwarz."
1224,What is the place of birth of Sean Sogliano's father?,Riccardo Sogliano (born 4 March 1942 in Alessandria) is a retired Italian professional footballer who played as a midfielder.
1225,Which country the founder of magazine Prabasi is from?,Prabasi  was a monthly Bengali language literary magazine edited by Ramananda Chatterjee.
1226,"Which film has the director who died later, Murphy'S War or See You In The Next War?","Živojin"" Žika"" Pavlović( 15 April 1933 – 29 November 1998) was a Yugoslav and Serbian film director, writer, painter and professor."
1227,"Which film was released first, The Pirate'S Dream or Prem Mhanje Prem Mhanje Prem Asta?",Mhanje Prem Asta( Marathi: प्रेम म्हणजे प्रेम म्हणजे प्रेम असतं) is a Marathi drama film released on 19 April 2013.
1228,"Who lived longer, Werner Mensching or Karel Zich?","Karel Zich( 10 June 1949 – 13 July 2004) was a Czech singer, guitarist and composer whose voice was often compared with that of Elvis Presley."
1229,Where did the director of film Jhoom Barabar Jhoom graduate from?,"He studied at the Welham Boys' School and the Lawrence School, Sanawar."
1230,Do both films: A French Gigolo and Temptation (1929 Film) have the directors from the same country?,"Temptation( French: La tentation) is a 1929 French silent film directed by René Barberis and René Leprince and starring Lucien Dalsace, Clara Darcey- Roche and Fernand Mailly."
1231,"Which film has the director born earlier, Comedy! or Ven Mi Corazón Te Llama?","Manuel Romeo (September 21, 1891 – October 3, 1954 in Buenos Aires) was an Argentine film director, screenwriter, dramatist and score composer, and one of the influential directors in the cinema of Argentina of the classic era."
1232,Who is the father-in-law of Lady Rose Mclaren?,"He was the younger son of Henry McLaren, 2nd Baron Aberconway and Christabel MacNaghten."
1233,Who is the spouse of the director of film Soldier (1998 American Film)?,"Soldier is a 1998 American science fiction action film directed by Paul W. S. Anderson, written by David Webb Peoples, and starring Kurt Russell, Jason Scott Lee, Jason Isaacs, Connie Nielsen, Sean Pertwee and Gary Busey."
1234,"Who is Alexander Lyon, 2Nd Lord Glamis's paternal grandfather?","He was the son of Sir John Lyon of Glamis (c.1377–c.1435) and Elizabeth Graham, daughter of Sir Patrick Graham of Dundaff and Kincardine and Euphemia Stewart, Countess of Strathearn."
1235,Do both films: Munnettam and Alex Pandian have the directors from the same country?,"Alex Pandian is a 2013 Tamil- language action comedy film and directed by Suraj that features Karthi and Anushka Shetty in the lead roles, while Santhanam, Milind Soman, Suman, Prathap Pothen and Nikita Thukral among others play pivotal supporting roles."
1236,"Where was the husband of Florence Bligh, Countess Of Darnley born?","Later in life, he inherited the earldom of Darnley and sat at Westminster as an elected Irish representative peer."
1237,Why did the director of film The Devil'S Playground (1937 Film) die?,"Devil's Playground is a 1937 American romantic drama film directed by Erle C. Kenton and starring Richard Dix, Dolores del Río, and Chester Morris."
1238,"Do both films, The Russians Are Coming, The Russians Are Coming and Our Loved Ones, have the directors who are from the same country?","Norman Frederick Jewison( born July 21, 1926) is a retired Canadian film director, producer, actor, and founder of the Canadian Film Centre."
1239,What nationality is the director of film Gambling Wives?,"George Delbert ""Dell"" Henderson (July 5, 1877 – December 2, 1956) was a Canadian-American actor, director, and writer."
1240,"Which film has the director who is older than the other, Al Qadisiyya or Jahan Pyar Mile? ","Salah Abu Seif( May 10, 1915 – June 23, 1996) was one of the most famous Egyptian film directors, and is considered to be the godfather of Neorealist cinema in Egypt."
1241,"When did Magnus, Prince Of Anhalt-Köthen's father die?","Adolph I, Prince of Anhalt-Köthen (died Zerbst, 28 August 1473), was a German prince of the House of Ascania and ruler of the principality of Anhalt-Köthen."
1242,Where did Léonard Rist's father die?,"Charles Rist (1 January 1874, Prilly – 10 January 1955, Versailles) was a French economist."
1243,Which country Irina Pozdnyakova's husband is from?,"Vyacheslav Alekseyevich Zaytsev (born 12 November 1952) is a Russian former volleyball player who competed for the Soviet Union in the 1976 Summer Olympics, in the 1980 Summer Olympics, and in the 1988 Summer Olympics."
1244,"Who was born first, François D'Escoubleau De Sourdis or Caroline Hazard?","François d' Escoubleau de Sourdis( 25 October 1574 – 1628) was a French Catholic prelate, the Archbishop of Bordeaux and founder of the Irish College there in 1603."
1245,"Which film came out earlier, Rajapattai or Tars And Spars?","Tars and Spars is a 1946 American musical romantic comedy film directed by Alfred E. Green and starring Alfred Drake, Janet Blair, and Marc Platt."
1246,Where was the place of death of Junia Tertia's husband?,"He commanded troops with Brutus during the Battle of Philippi against the combined forces of Mark Antony and Octavian, Caesar's former supporters, and committed suicide after being defeated by Mark Antony."
1247,"Who died earlier, Roza Robota or Giovanni Cagliero?","Roza Robota( 1921, Ciechanów – 6 January 1945) or Róża Robota in Polish, referred to in other sources as Rojza, Rozia or Rosa, was the leader of a group of four women Holocaust resistors hanged in the Auschwitz concentration camp for their role in the"" Sonderkommando"" prisoner revolt of 7 October 1944."
1248,Are John F. Mulholland Jr. and Tony Succar of the same nationality?,Lieutenant General John F. Mulholland Jr.( born c. 1955) is a retired senior officer who served in the United States Army and is the former Associate Director of the Central Intelligence Agency for Military Affairs.
1249,Which country Stratonice Of Macedon's father is from?,"Stratonice("" Stratoníkē""; lived in the 3rd century BC) of Macedonia was the daughter of Stratonice of Syria and of the Seleucid king Antiochus I Soter( 281–261 BC)."
1250,"Which film whose director is younger, The Condemned or Mr. Chedworth Steps Out?","Kenneth George Hall, AO, OBE( 22 February 1901 – 8 February 1994), better known as Ken G. Hall, was an Australian film producer and director, considered one of the most important figures in the history of the Australian film industry."
1251,"Which film has the director born later, Miss Sloane or Time Changer?","Time Changer is an independent science fiction Christian seriocomic film written and directed by Rich Christiano, released by Five& Two Pictures in 2002."
1252,"Which film has the director who was born later, La Professoressa Di Scienze Naturali or La Noche Del Hurto?",La professoressa di scienze naturali( Professor of Natural Sciences) is a 1976 commedia sexy all'italiana directed by Michele Massimo Tarantini.
1253,"Which film was released first, Par La Fenêtre or Semi-Tough?","Semi-Tough is a 1977 American comedy film directed by Michael Ritchie and starring Burt Reynolds, Kris Kristofferson, Jill Clayburgh, Robert Preston, Lotte Lenya, and Bert Convy."
1254,Where did Irina Paley's father die?,"In declining health, he was shot by the Bolsheviks with other Romanov relatives in the courtyard of the Peter and Paul Fortress in January 1919, and his remains were thrown into a common grave."
1255,"Which film has the director died later, Swing Fever or The Phantom Stage?","Tim Whelan( November 2, 1893 – August 12, 1957) was an American film director, writer, producer and actor best remembered for his writing credits on"" Harold Lloyd"" and"" Harry Langdon"" comedies, and his directing of mostly British films( e.g."" The Thief of Bagdad""( 1940)."
1256,What is the date of death of the director of film The Organization (Film)?,"Donald Muller (November 26, 1917, Detroit, Michigan - December 12, 2012, West Hills, California), known professionally as Don Medford, was an American television director who directed over 75 TV series between 1951 and 1989, and who also directed three movies."
1257,Who is the paternal grandfather of Przemysław Of Toszek?,"He was the second son of Duke Casimir I of Oświęcim by his first wife Anna, daughter of Duke Henry VIII of Żagań."
1258,"Who was born earlier, J Yaw Wu or Eduard Hämäläinen?",J Yaw Wu( born 14 April 1969) is a Burmese politician and currently serving as an Amyotha Hluttaw MP for Kachin State No. 1 constituency.
1259,What is the place of birth of Jorge Sapag's father?,"He is the son of the late senator Elías Sapag, nephew of Felipe Sapag, five times governor of the province and brother of Luz María Sapag, former senator and provincial deputy and current elected mayor of San Martín de los Andes."
1260,What nationality is the director of film Cuidado Con Las Imitaciones?,Luis Bayón Herrera (23 September 1889 – 30 March 1956) was a Spanish film director and screenwriter who worked in Argentine film of the 1940s and 1950s.
1261,Which country Francis Dundas's father is from?,"Francis Dundas was the second son of Robert Dundas of Arniston and Jean Grant, and the nephew of Henry Dundas, 1st Viscount Melville and War Secretary."
1262,Which country the performer of song 3Am (Pull Up) is from?,"In 2015, Charli XCX began working with producers and artists in A. G. Cook's British collective PC Music, as well as producer Sophie, developing a more experimental sound and image."
1263,Who is the father-in-law of Izz-Un-Nissa?,"Shah Jahan was widely considered the most competent of Emperor Jahangir's four sons and after Jahangir's death in late 1627, when a war of succession ensued, Shah Jahan emerged victorious."
1264,"Are both universities, African Institute For Future Studies and University Of Kisangani, located in the same country?","The African Institute for Future Studies, also known as Panafrican Institute for Future Studies or INADEP, is a research institution and university founded in 1989 by the President of Zaire( present day Democratic Republic of the Congo)( Ordinance 89–287 of 9 November 1989)."
1265,"Who is the father-in-law of Maria Manuela, Princess Of Portugal?","The son of Holy Roman Emperor and King of the Spanish kingdoms Charles V and Isabella of Portugal, Philip was called ""Felipe el PrudentePhilip the Prudent"") in the Spanish kingdoms; his empire included territories on every continent then known to Europeans, including his namesake the Philippines."
1266,Who was born first out of Kazimierz Cichowski and Ellen Margrethe Løj?,"( 7 December 1887 in Ostrowiec Świętokrzyski, Radom Governorate – 29 October 1937) was a Polish- Soviet communist activist and politician, Bolshevik and nobleman."
1267,"Are both St Joseph'S College, Gregory Terrace and Saint Ignatius' College, Adelaide located in the same country?","St Joseph's College, Gregory Terrace( commonly known as Gregory Terrace or GT) is a Greater Public Schools private, Catholic, day school for boys only, located in Spring Hill, an inner suburb of Brisbane, Queensland, Australia."
1268,"Which film was released more recently, Cavalcata Di Mezzo Secolo or The Song Of Kaprun?","The Song of Kaprun or The Song of the Hohe Tauern( German: Das Lied der Hohen Tauern) is a 1955 Austrian- German drama film directed by Anton Kutter and starring Waltraut Haas, Albert Lieven and Eduard Köck."
1269,What is the date of death of Wang Yuankui's father?,"Wang Tingcou (王廷湊 or 王庭湊; died 834), formally the Duke of Taiyuan (太原公), was a general of the Chinese dynasty Tang Dynasty who, in 821, during the reign of Emperor Muzong, took over control of Chengde Circuit (成德, headquartered in modern Shijiazhuang, Hebei) and thereafter ruled it in a ""de facto"" independent manner from the imperial government."
1270,"What nationality is Catherine Of Lorraine, Margravine Of Baden-Baden's father?","Charles II (11 September 1365 – 25 January 1431), called the Bold  was the Duke of Lorraine from 1390 to his death and Constable of France from 1418 to 1425."
1271,Who is the paternal grandfather of Qiubo Of Han?,"He was the son of Huan Shu of Quwo, half-brother of Zhuang Bo of Quwo, and the progenitor of Warring States period's State of Han."
1272,"When did Henry Pelham-Clinton, 6Th Duke Of Newcastle's father die?","Henry Pelham Fiennes Pelham-Clinton, 5th Duke of Newcastle-under-Lyne, (22 May 1811 – 18 October 1864), styled Earl of Lincoln before 1851, was a British politician."
1273,"Which film came out earlier, Testament Of Orpheus or Wandering Fires?",Wandering Fires is a 1925 silent film drama produced and directed by Maurice Campbell and stars Constance Bennett.
1274,Where did the director of film Playing It Wild die?,"Duncan, who was Hollywood's first Scottish movie star, worked with the major studios of the day including the Selig Polyscope Company and Vitagraph."
1275,"Which film was released more recently, A Fugitive From Matrimony or Grass Is Greener?","A Fugitive from Matrimony is a 1919 American silent comedy film directed by Henry King and starring H.B. Warner, Seena Owen and Adele Farrington."
1276,Did Sam Barsky and Linda Vaughn share the same nationality?,"Linda Faye Vaughn( born August 11, 1943 in Dalton, Georgia, United States) is an American motor racing personality who has been described as the"" preeminent beauty queen of stock car racing"", and"" The First Lady of Motorsports""."
1277,What is the date of death of Augusta Leigh's father?,"John ""Mad Jack"" Byron, the poet Lord Byron's father, by his first wife, Amelia, née Darcy (Lady Conyers in her own right and the divorced wife of Francis, Marquis of Carmarthen)."
1278,Who is Prince Archil Of Imereti's child?,"She was the mother of Solomon II of Imereti, the last king to have reigned in the Georgian polities."
1279,What is the place of birth of Adelaide Of Poland's father?,"He became ruler over the Polish Seniorate Province at Kraków and thereby High Duke of Poland in 1177; a position he held until his death, though interrupted once by his elder brother and predecessor Mieszko III the Old."
1280,"Which film has the director born earlier, Decoding Deepak or Hitler – Dead Or Alive?",Decoding Deepak is a 2012 feature- length documentary film directed by Gotham Chopra about his father Deepak Chopra.
1281,Where was the director of film The Boxer And Death born?,The Boxer and Death  is a 1962 Slovak film directed by Peter Solan.
1282,"Which film was released more recently, Thema Syneidiseos or My Magic?",My Magic is a 2008 Singaporean Tamil language drama film directed by Eric Khoo and produced by Zhao Wei Films in association with Infinite Frameworks.
1283,"Who lived longer, A.-M. Julien or Ernst Zu Münster?","Graf Ernst Friedrich Herbert zu Münster( born March 1, 1766 Osnabrück- died May 20, 1839 Hanover) was a German statesman, politician and minister in the service of the House of Hanover."
1284,"Which film has the director died earlier, The Coca-Cola Kid or Ayul Kaithi?","Dušan Makavejev( 13 October 1932 – 25 January 2019) was a Serbian film director and screenwriter, famous for his groundbreaking films of Yugoslav cinema in the late 1960s and early 1970s — many of which belong to the Black Wave."
1285,"Are both Talovka (Selo), Republic Of Buryatia and Troinka located in the same country?","Talovka is a rural locality( a selo) in Okinsky District, Republic of Buryatia, Russia."
1286,"What is the date of birth of Henry Prittie, 2Nd Baron Dunalley's father?","Dunalley was the son of Henry Prittie, 1st Baron Dunalley, by Catherine Sadleir, daughter of Francis Sadleir and widow of John Bury."
1287,What is the place of birth of Osbeorn Bulax's father?,"Siward was probably of Scandinavian origin, perhaps a relative of Earl Ulf, and emerged as a powerful regional strongman in England during the reign of Cnut (""Canute the Great"", 1016–1035)."
1288,"Which film has the director died earlier, Island Of Lost Men or Call Of The Jungle?",Kurt Neumann( 5 April 1908 – 21 August 1958) was a German Hollywood film director who specialized in science fiction movies in his later career.
1289,"Which song came out first, Sunny And 75 or Miss Me Blind?","It was released in May 2013 as his first single for Red Bow Records, and is featured on his eight album"" Crickets""( 2013)."
1290,Where was the director of film Annakutty Kodambakkam Vilikkunnu born?,"Annakutty Kodambakkam Vilikkunnu is a 1989 Indian Malayalam film, directed by Jagathy Sreekumar, starring Jagathy Sreekumar and Sreeja in the lead roles."
1291,"What nationality is George I, Landgrave Of Hesse-Darmstadt's mother?","Born on 10 September 1547 in Kassel, he was the fourth son of Philip I the Magnanimous of Hesse and Christine of Saxony."
1292,Where did M. K. Muthu's father die?,"Karunanidhi died on 7 August 2018 at Kauvery Hospital in Chennai after prolonged, age-related illness."
1293,Are both director of film Any Man'S Death and director of film The House Opposite (1931 Film) from the same country?,"Any Man's Death is a 1990 South African thriller drama film directed by Tom Clegg and starring John Savage, William Hickey, Mia Sara and Ernest Borgnine."
1294,"Which film has the director who was born later, Wild Boys Of The Road or That Royle Girl?","William Augustus Wellman( February 29, 1896 – December 9, 1975) was an American film director notable for his work in crime, adventure and action genre films, often focusing on aviation themes, a particular passion."
1295,Where did the director of film Request Concert die?,"Erik Ode (born Fritz Erik Signy Odemar, 6 November 1910 in Berlin – 19 July 1983 in Kreuth-Weißach) was a German director and actor who was most famous for playing Kommissar ""Herbert Keller"" in the German television drama ""Der Kommissar"" (The Police Inspector)."
1296,"Who is younger, Barry Donald or Halle Cioffi?","Barry Donald( born 24 December 1978) is a Scottish footballer who played for Stenhousemuir, Queen of the South, Dumbarton, Forfar Athletic, Albion Rovers and Stranraer."
1297,What is the date of death of Princess Eugénie Of Greece And Denmark's mother?,"Princess Eugénie of Greece and Denmark  (10 February 1910 – 13 February 1989) was the youngest child and only daughter of Prince George of Greece and Denmark and his wife, Princess Marie Bonaparte, daughter of Marie-Félix Blanc and Prince Roland Bonaparte, a great-nephew of Napoleon I."
1298,"Which film has the director who died earlier, The Moment To Kill or Harrison And Barrison?","Sir Alexander Korda( born Sándor László Kellner, 16 September 1893 – 23 January 1956) was a British film producer and director and screenwriter, who founded his own film production studios and film distribution company."
1299,What is the place of birth of Princess Magdalena Augusta Of Anhalt-Zerbst's mother?,"Sophia of Saxe-Weissenfels (also: ""Sophie""; 23 June 1654 in Halle an der Saale – 31 March 1724 in Zerbst) was a member of the Albertine branch of the House of Wettin, and a princess of Saxe-Weissenfels and Querfurt by birth and by marriage Princess of Anhalt-Zerbst."
1300,What is the place of birth of Umade Bhattiyani's husband?,"Maldev Rathore (5 December 1511 – 7 November 1562) was an Indian ruler of Marwar, which was later known as Jodhpur (in the present day Rajasthan state of India)."
1301,"Which film has the director who died later, The World Gone Mad or The Raft Of The Dead?","The World Gone Mad( also released as The Public Be Hanged) is a 1933 American Pre- Code crime film directed by Christy Cabanne and starring Pat O' Brien, Evelyn Brent and Neil Hamilton."
1302,Who is the father of the director of film Sources Of Life?,He was born in Starnberg as the son of writer Gisela Elsner and the writer Klaus Roehler.
1303,"Who was born later, Tadeusz Śliwak or Michel Le Denmat?",Michel Le Denmat( born 11 September 1950) is a French former professional racing cyclist.
1304,Which country the director of film Gopura Vasalile is from?,"Gopura Vasalile  is a 1991 Indian Tamil black comedy film written and directed by Priyadarshan in his directional debut in Tamil cinema, produced by M. K. Thamizharasu."
1305,Where was the father of Alexei Antonovich Of Brunswick born?,"Alexei Antonovich of Brunswick-Lüneburg (27 February 1746 – 12 (23) October 1787), was the third son of Duke Anthony Ulrich of Brunswick and Grand Duchess Anna Leopoldovna of Russia, and younger brother of Ivan VI."
1306,"Who was born earlier, Marco Bortolami or Yan Yan Chan?","Marco Bortolami( born 12 June 1980) is an Italian international rugby union player, playing club rugby for Zebre in the Pro14."
1307,"Which film was released more recently, The Doberman Gang or King Of The Newsboys?",The Doberman Gang is a 1972 film about a talented animal trainer who uses a pack of six Doberman Pinschers to commit a bank robbery.
1308,"Which film was released more recently, Sacred Silence or Ek Haseena Thi Ek Deewana Tha?","Sacred Silence is a 1996 Italian film directed by Antonio Capuano that deals with a Catholic priest, his pederastic relationship with a Napolitan street boy, and the domination of daily life in Southern Italy by the Camorra."
1309,What is the cause of death of director of film Vrijdag?,"Vrijdag (Dutch for ""Friday"") is a 1980 Belgian-Dutch drama film directed by Hugo Claus, based on his 1969 play (a ""classic"" Dutch play)."
